feature,importance
win_rate_gap,0.09058329404922427
goal_difference_gap,0.08959276617094618
attack_strength_gap,0.08425973197065899
defensive_strength_gap,0.06584499717826951
away_draw_rate,0.06547268087479427
xg_difference_gap,0.06396706292140697
home_draw_rate,0.05936195976157291
away_win_rate,0.03958608403810223
home_loss_rate,0.03602900319294706
away_loss_rate,0.03273008017459923
home_win_rate,0.030448564353060734
home_avg_xg_against,0.029011891793883686
home_goal_difference_per_match,0.028691980166501124
away_xg_difference_per_match,0.027736231968689223
away_avg_xg_against,0.02752439631118852
home_avg_goals_against,0.027011821226351117
home_avg_goals_for,0.026820970071235926
away_avg_goals_for,0.026466844179521585
home_xg_difference_per_match,0.024433385726097
away_goal_difference_per_match,0.024216063334896124
home_avg_xg_for,0.022490485911080212
away_avg_goals_against,0.022415178607188238
away_avg_xg_for,0.0215389037131759
away_matches_played,0.017176650942830128
home_matches_played,0.016588971361778906
